Location,Distance,Location1
Vileparle East,4.4,Andheri East
Andheri,3,Andheri East
Andheri West,7,Andheri East
Bandra East,6,Andheri East
Bandra West,6,Andheri East
Borivali West,4,Andheri East
Cumballa Hill,5,Andheri East
Ghatkopar East,2,Andheri East
Ghatkopar West,6,Andheri East
Kandivali West,7,Andheri East
Khar West,2,Andheri East
Malad West,3,Andheri East
Marine Lines,5,Andheri East
Mulund,6,Andheri East
Opera House,7,Andheri East
Prabhadevi,3,Andheri East
Santacruz West,6,Andheri East
Tilak Nagar,2,Andheri East
